status,name,scope_calls,scope_calls Δ,scope_calls Δ%,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,fibonacci_20,,,,729,0,0.00%,0,0,0.00%,0,0,0.00%
,fibonacci_45,,,,1304,0,0.00%,0,0,0.00%,0,0,0.00%
,fibonacci_8a,,,,453,0,0.00%,0,0,0.00%,0,0,0.00%
,fibonacci_8b,,,,207,0,0.00%,0,0,0.00%,0,0,0.00%
,fibonacci_8c,,,,394,0,0.00%,0,0,0.00%,0,0,0.00%
